age,height,weight
21,178,75.4
23,182,82.7
21,181,79.5
21,166,71.3
21,154,63.4
19,177,75.3
39,174,73.0
20,183,80.0
22,181,76.8
21,186,83.4
20,183,80.6
24,180,77.2
20,169,68.6
21,163,66.6
19,180,77.6
21,173,71.8
19,161,65.4
21,170,68.9
23,174,71.1
22,188,87.9
21,175,75.7
20,162,63.3
22,169,67.4
20,174,68.4
23,174,75.8
20,178,73.3
23,163,67.9
20,166,67.7
55,188,85.0
23,168,70.7
21,176,75.3
19,171,71.0
27,166,65.8
19,166,70.8
43,178,78.6
23,173,71.8
21,156,64.0
47,178,79.4
21,163,66.2
19,186,82.0
22,163,60.8
19,172,71.6
22,182,81.2
23,186,81.7
23,181,82.9
19,171,71.5
19,166,69.8
22,180,73.8
21,174,74.4
22,183,83.8
22,172,73.0
39,186,81.8
53,177,79.6
20,180,83.7
24,182,77.6
21,171,69.4
19,180,77.3
23,171,68.2
21,182,80.4
21,186,81.6
61,168,65.5
22,173,71.2
22,152,66.0
19,188,84.7
22,174,70.3
19,186,80.3
21,166,65.0
20,155,61.7
22,171,72.4
23,181,76.6
24,158,65.1
19,180,79.1
22,181,73.0
22,165,72.2
20,152,59.8
24,158,64.8
20,154,63.5
19,180,82.5
19,180,77.5
21,162,67.1
20,165,64.2
22,155,62.8
24,167,64.4
22,176,74.1
23,165,65.0
25,182,84.6
22,149,62.4
22,188,89.1
22,160,67.7
22,159,63.0
20,166,70.5
23,167,68.3
23,187,82.5
19,154,61.5
21,172,70.6
22,183,79.7
21,177,77.7
22,171,70.3
50,177,76.0
27,182,82.1
25,182,83.9
21,159,60.7
19,173,72.7
21,196,94.5
22,163,67.1
22,167,68.5
21,162,67.1
55,171,66.3
24,182,83.5
26,180,82.2
22,188,89.7
19,164,65.5
20,181,78.5
22,161,65.0
52,165,66.1
19,188,88.9
20,157,67.3
20,179,74.6
23,172,67.0
18,162,64.0
18,155,62.0
21,188,88.2
22,179,77.8
55,172,69.0
21,190,86.0
21,158,62.0
22,165,70.6
19,185,88.0
19,165,68.6
21,186,88.0
22,156,64.6
22,163,65.2
21,182,81.6
25,172,71.6
20,174,73.7
19,170,65.3
19,174,75.2
20,170,74.5
50,188,82.3
21,165,65.3
18,160,64.7
20,169,67.8
22,181,81.0
25,180,80.5
19,174,75.5
18,175,72.1
19,190,90.0
21,168,69.4
23,157,66.0
19,184,77.6
22,183,86.5
21,155,65.6
34,167,70.4
22,162,66.4
22,165,68.6
23,180,74.2
20,171,73.4
20,165,68.6
19,181,81.4
24,164,70.6
22,167,68.6
21,169,72.5
22,178,74.0
25,160,67.7
21,200,101.2
21,167,67.6
20,160,63.2
20,170,73.0
20,174,71.9
21,182,81.9
18,171,72.4
20,165,68.0
21,150,64.2
20,193,93.2
21,173,74.6
20,169,70.7
24,167,66.9
19,165,62.9
21,161,68.3
20,174,73.2
20,170,67.8
20,166,65.6
22,174,73.7
18,179,80.4
20,197,96.9
19,166,65.2
21,178,74.0
21,173,78.3
21,173,72.5
18,184,85.0
24,155,60.4
23,168,67.6
18,174,68.9
21,149,60.3
19,161,62.6
19,170,71.3
22,172,65.4
23,175,78.3
19,166,70.1
23,173,72.8
28,178,77.7
22,165,72.3
21,155,62.7
24,171,73.4
21,188,85.2
60,186,86.5
21,157,62.4
22,176,73.5
22,169,70.0
20,158,66.1
22,170,68.0
21,148,66.8
22,192,93.1
24,174,73.8
22,183,77.9
18,169,68.9
23,193,92.5
26,154,62.1
18,187,85.8
21,156,64.4
19,175,75.1
19,181,82.5
23,164,66.5
22,164,65.0
20,167,68.9
22,164,67.5
21,189,88.0
21,154,65.7
22,163,66.2
22,186,86.0
20,190,93.3
22,193,91.7
21,156,64.0
22,166,70.0
21,178,76.8
22,170,68.8
20,174,73.9
21,166,71.8
42,176,73.1
23,167,69.5
20,168,73.2
21,172,72.3
23,168,69.3
20,153,59.8
19,167,70.7
23,183,85.6
24,183,83.3
22,159,61.0
22,178,80.2
18,164,64.4
22,164,65.9
20,162,63.0
22,158,63.6
20,188,86.7
44,164,66.4
18,161,63.7
20,159,62.7
19,186,82.4
22,169,70.8
23,174,74.1
22,174,68.7
19,167,63.5
47,161,67.2
21,187,88.2
24,164,69.6
49,162,66.3
19,177,74.8
22,160,66.5
20,187,86.4
60,176,70.2
22,166,68.8
23,171,68.8
21,179,75.7
21,167,66.4
25,139,57.8
20,186,85.0
22,173,75.9
21,196,96.6
22,159,66.5
21,173,73.8
21,175,74.3
21,169,71.2
21,153,58.9
21,168,69.6
21,167,71.4
20,197,99.4
22,170,73.4
22,175,73.1
21,160,68.7
19,158,67.4
22,165,65.6
21,165,70.9
20,164,64.3
21,177,75.0
23,167,68.4
21,188,86.1
23,176,75.5
21,172,72.7
22,179,77.3
21,178,74.4
19,166,63.0
21,157,66.3
19,174,78.7
21,170,73.4
22,174,75.2
20,171,69.3
21,179,74.4
24,173,75.3
20,172,74.6
19,184,81.6
20,175,76.7
21,174,70.6
27,174,74.0
22,187,83.6
24,153,60.0
20,167,65.7
24,187,91.0
19,188,89.2
25,180,76.3
19,189,90.8
22,190,89.8
21,175,74.6
19,164,64.9
19,151,62.3
24,167,69.7
22,179,78.8
21,168,71.8
20,179,77.8
21,168,66.5
21,162,66.1
19,163,65.3
19,168,71.4
19,172,70.7
22,166,64.8
19,176,76.3
20,159,66.6
21,176,74.9
19,169,69.3
20,173,70.9
22,162,68.7
22,170,73.2
20,158,65.7
20,178,78.4
24,183,81.8
21,166,69.6
21,182,83.8
21,182,79.9
19,177,72.2
20,182,81.3
20,184,82.7
21,177,79.2
23,186,89.6
20,165,68.8
19,160,62.8
19,190,90.4
24,165,68.0
21,166,65.2
20,154,60.3
22,174,73.0
20,181,78.0
21,177,77.0
19,167,70.8
18,184,84.8
23,167,71.7
22,177,78.2
20,174,75.0
20,154,60.9
25,166,65.3
21,168,70.7
22,172,71.7
20,189,87.2
20,154,60.4
21,168,70.8
20,176,71.6
25,183,79.4
19,168,68.5
19,143,59.5
31,166,64.8
24,184,86.2
20,149,58.5
23,191,91.1
20,167,70.7
25,158,61.3
23,171,67.2
20,175,74.5
19,199,102.5
20,192,88.6
21,149,56.9
41,187,86.4
25,182,83.9
22,169,71.5
20,157,63.6
19,182,79.0
32,165,65.1
18,182,82.1
22,160,67.6
23,168,69.0
23,186,91.0
21,182,82.8
22,184,83.9
23,170,69.7
19,179,80.7
22,172,71.8
20,173,65.6
19,192,90.3
22,164,70.6
33,179,77.0
22,192,88.0
42,160,61.9
19,192,92.8
19,183,84.0
19,184,82.6
23,168,64.1
22,178,76.0
23,173,73.1
20,176,77.7
25,151,63.6
24,178,79.7
21,169,68.3
22,160,64.1
19,176,80.9
23,172,76.5
22,173,72.9
22,165,65.3
24,169,71.0
22,182,82.1
23,152,65.1
20,170,73.4
23,188,82.4
21,178,81.0
20,172,69.7
20,190,90.0
22,181,79.6
20,173,70.7
21,183,77.6
21,169,70.7
19,157,62.6
21,177,77.7
24,181,80.4
21,158,59.3
22,180,83.1
18,160,66.2
21,182,82.2
19,167,66.8
25,176,77.9
20,147,59.4
19,166,65.8
22,160,63.0
26,162,66.3
21,168,65.4
22,176,77.4
20,171,73.6
20,149,57.0
21,169,72.2
20,168,69.6
22,174,72.8
42,161,70.1
20,165,68.4
20,163,66.9
19,157,61.9
23,170,72.1
24,187,84.0
22,195,95.3
23,152,57.2
20,167,70.2
22,152,61.9
19,178,72.2
21,182,79.3
22,162,66.3
24,163,66.4
19,188,88.0
24,184,87.0
21,178,73.8
21,190,86.8
22,170,70.6
24,164,62.2
22,155,65.6
21,161,65.8
21,167,64.7
21,178,73.1
19,168,67.4
21,155,63.0
20,161,65.7
21,162,67.4
21,172,68.9
52,169,68.0
19,187,82.1
19,159,61.5
23,192,89.6
23,165,68.8
23,178,75.4
22,181,78.5
20,186,88.4
22,182,81.2
20,155,62.0
23,184,82.5
23,156,60.8
19,171,72.0
24,160,61.7
23,180,80.4
22,169,72.3
19,183,86.8
21,184,83.9
21,167,69.4
21,177,75.1
20,185,84.3
20,181,82.7
24,168,64.5
20,195,95.2
23,178,77.1
19,183,80.5
19,176,73.9
26,175,73.4
21,162,65.3
20,163,63.1
21,151,61.2
21,184,81.3
21,163,67.3
20,181,81.2
20,174,77.2
22,156,60.0
20,164,69.2
24,169,67.1
58,188,88.1
47,166,63.4
18,174,69.1
20,165,69.0
21,165,67.1
20,170,77.2
20,172,71.6
20,182,85.5
19,181,79.0
20,156,59.7
20,180,76.0
21,165,65.8
20,152,59.6
22,169,70.0
21,186,83.4
19,174,75.2
21,168,68.4
21,183,83.6
21,193,89.3
23,157,61.9
19,166,64.4
23,171,73.6
23,184,86.3
22,189,91.5
19,189,86.5
19,169,72.9
38,154,64.2
20,177,76.7
21,165,71.2
19,163,68.7
22,177,77.4
63,176,73.5
19,196,99.1
20,186,87.8
22,167,70.8
20,174,71.0
19,184,81.9
21,153,59.3
24,183,79.5
19,161,66.2
20,178,78.1
21,180,77.0
18,194,92.7
21,180,78.2
20,175,69.7
20,186,87.0
51,158,66.6
23,185,80.8
22,174,73.0
22,182,78.3
19,181,80.9
22,178,78.2
21,149,56.5
23,169,66.2
20,185,81.4
22,187,90.4
25,159,63.2
21,163,68.1
21,148,61.6
22,161,64.1
18,189,88.4
22,167,67.6
20,187,85.7
24,158,60.8
19,185,83.5
20,180,77.6
21,165,69.0
20,185,84.1
21,167,67.8
33,190,88.6
22,164,73.9
21,182,78.2
23,154,62.0
54,174,72.4
18,192,92.2
21,169,68.6
21,163,69.8
20,153,62.6
22,174,78.2
24,160,65.8
19,161,69.0
24,152,59.0
23,179,78.7
21,172,67.8
31,175,71.6
23,166,66.7
20,160,65.2
20,165,66.9
24,152,62.4
21,166,67.9
20,176,74.1
24,178,77.9
21,155,68.3
20,174,76.8
22,163,63.5
20,164,67.4
20,167,67.6
23,164,68.7
26,168,67.8
22,144,62.3
22,180,82.0
19,176,78.7
21,163,66.9
20,162,66.9
18,203,106.3
22,182,82.6
20,175,72.6
21,186,85.7
21,188,90.2
22,171,73.1
21,164,67.3
26,171,70.3
21,161,62.3
20,168,70.1
21,178,78.3
20,168,70.0
22,154,59.7
22,174,69.2
19,166,68.3
20,156,60.5
23,172,69.8
21,175,77.7
19,171,73.4
23,165,65.7
20,175,75.6
19,179,73.2
20,156,61.6
23,165,66.1
23,180,77.6
19,160,66.2
18,160,63.4
37,166,67.7
19,164,65.8
22,154,61.8
22,180,79.5
21,178,73.8
22,170,68.1
21,188,84.8
20,165,64.3
20,167,72.4
21,160,64.0
25,158,63.7
20,174,77.1
20,162,64.1
21,170,69.1
20,182,74.0
21,167,68.3
21,180,78.1
26,173,75.9
21,174,71.0
50,159,69.4
19,162,68.0
21,176,78.8
21,164,69.8
22,171,71.2
22,181,77.6
19,187,86.7
18,193,92.9
25,163,66.0
23,161,68.2
26,170,70.6
22,149,57.0
22,176,77.1
22,179,78.4
20,160,66.7
21,142,56.4
21,176,74.9
22,180,79.2
21,156,64.5
21,166,64.5
20,168,68.3
20,178,80.6
20,165,67.1
20,178,74.3
22,166,67.8
25,183,80.1
23,179,78.8
22,170,71.3
19,173,70.5
20,178,76.4
18,181,75.9
19,158,66.8
20,165,67.6
21,166,61.4
20,174,78.7
22,176,75.6
19,160,64.2
22,165,68.5
21,185,83.0
19,168,72.9
23,157,63.6
20,179,80.6
22,178,74.0
19,161,67.5
20,162,62.2
22,184,86.5
19,185,80.8
20,171,68.6
20,158,63.2
22,172,72.8
21,157,61.7
19,169,67.9
22,186,86.9
63,154,62.8
20,172,73.7
20,178,75.9
22,188,84.5
22,172,73.6
22,185,84.3
21,171,72.0
21,198,98.4
21,184,83.2
21,163,68.7
19,167,71.1
20,181,79.4
23,158,64.9
20,186,90.1
24,164,68.8
23,183,80.1
19,163,63.0
19,147,58.2
23,153,61.6
22,163,69.7
20,164,70.8
19,175,74.1
23,148,61.1
21,145,60.0
20,180,79.3
23,170,68.5
26,190,90.2
24,186,84.1
22,181,78.4
52,168,71.2
24,175,76.3
37,164,71.9
22,181,83.7
20,175,75.2
22,166,67.3
22,150,63.8
20,162,61.6
21,164,68.6
22,189,87.8
20,155,62.7
23,172,73.0
21,158,61.3
20,181,79.0
21,181,83.1
19,174,76.2
22,159,69.5
25,182,79.7
21,175,71.8
21,170,73.1
20,189,88.0
20,165,66.6
21,159,65.4
22,172,71.9
34,178,79.5
19,154,63.2
22,173,73.2
20,174,71.6
23,173,68.6
23,162,69.3
20,183,84.1
20,183,83.3
20,188,89.1
20,153,62.7
22,172,74.2
21,162,67.0
23,169,66.9
24,160,66.6
21,157,65.3
22,171,73.9
20,169,69.9
21,167,71.6
22,186,83.7
21,187,84.4
22,178,72.6
44,160,67.3
20,184,80.6
23,176,73.0
19,166,65.5
23,179,78.9
21,175,72.8
20,191,93.0
20,171,69.8
20,167,67.3
20,167,69.0
19,154,63.1
19,172,70.1
20,159,63.2
19,165,64.9
23,180,79.5
20,176,77.2
20,190,92.4
21,154,58.0
26,168,73.6
20,188,83.8
21,164,66.5
21,155,65.5
23,154,60.8
47,147,60.6
22,170,69.8
24,186,87.3
22,149,57.7
19,176,74.5
22,190,92.4
57,157,66.4
22,186,82.8
23,189,86.8
23,184,85.5
24,157,62.5
20,184,82.9
21,164,69.5
21,167,71.5
21,146,56.7
23,185,82.8
20,154,60.2
23,172,71.9
21,178,75.9
19,164,64.8
22,178,78.6
22,175,69.9
21,145,61.0
21,171,72.5
22,175,72.9
19,200,105.7
20,168,74.3
19,162,70.2
27,156,64.8
22,162,67.4
21,174,70.2
22,152,62.6
22,195,95.9
20,187,86.1
22,181,79.6
22,186,82.1
21,180,78.8
20,186,82.9
20,148,56.4
22,164,68.5
23,172,70.0
23,181,82.8
19,176,73.8
23,162,65.8
22,173,71.7
23,168,70.9
23,196,96.7
20,163,64.8
22,177,72.7
23,184,80.8
21,182,83.3
21,161,60.6
21,165,69.4
24,181,80.2
19,170,69.0
22,175,76.6
20,186,84.8
24,172,73.5
20,195,98.3
54,154,65.8
20,180,76.3
21,186,82.2
20,189,83.5
18,176,74.9
22,168,70.1
24,184,82.0
22,174,73.0
22,154,63.0
18,174,74.3
21,163,61.5
24,156,64.3
18,186,85.3
19,172,69.2
21,157,60.6
19,174,70.3
25,161,68.2
22,178,77.7
30,168,69.4
22,181,76.3
22,161,66.3
22,169,68.6
20,165,66.6
22,174,71.6
22,178,76.2
23,167,67.7
21,151,58.0
20,160,68.3
20,153,57.4
21,176,76.1
21,195,94.4
21,174,74.4
23,177,76.2
23,165,68.6
23,162,64.3
24,166,69.0
53,178,78.4
20,186,82.2
22,172,77.0
62,165,66.9
22,186,82.1
21,188,81.9
18,182,77.1
20,180,77.2
19,176,73.9
23,189,89.9
24,164,71.0
32,167,65.7
23,150,58.3
21,153,60.4
42,194,101.1
19,154,63.2
26,175,75.5
24,164,70.9
21,160,67.4
24,187,84.1
58,177,74.9
18,174,74.0
20,178,77.0
21,163,67.3
22,185,79.2
21,162,64.5
25,170,74.1
19,181,82.1
24,172,70.8
18,179,79.4
20,186,80.7
24,160,60.6
20,171,70.6
20,156,62.4
20,172,72.6
20,178,79.8
21,187,86.5
21,158,64.5
21,174,72.3
20,192,91.0
20,183,79.9
26,172,74.5
18,184,83.1
29,184,80.3
20,183,79.0
21,160,62.5
21,182,79.1
25,181,81.5
22,163,66.9
20,152,61.2
21,169,73.8
18,178,76.1
20,176,77.9
22,174,74.4
21,181,82.1
22,164,63.9
24,161,63.3
43,182,82.0
61,170,70.3
19,171,70.3
19,157,68.8
20,170,64.2
23,167,64.1
23,178,76.4
19,154,63.3
20,185,82.2
22,165,67.9
19,160,65.3
25,160,64.8
21,171,71.1
21,153,59.8
21,172,77.0
20,155,62.0
21,182,78.2
19,159,65.8
23,160,65.2
20,189,85.5
21,178,77.1
18,181,81.6
25,179,78.5
20,166,67.3
23,164,67.2
21,154,61.9
27,189,86.5
19,182,79.4
19,159,63.7
23,160,71.4
21,180,78.7
20,185,85.7
21,152,54.6
23,165,62.6
26,160,68.2
23,159,64.9
20,168,66.4
24,169,68.4
20,190,87.3
21,157,63.1
49,193,92.0
19,178,76.2
18,178,80.5
22,178,75.5
20,158,66.7
21,160,61.4
21,181,79.2
23,194,95.7
21,186,84.3
23,178,77.8
36,172,72.5
19,161,66.8
19,161,64.2
23,158,65.7
23,175,70.7
22,171,68.7
19,183,77.2
21,169,65.3
21,176,75.9
22,178,77.4
23,162,59.8
21,155,61.5
25,169,69.9
23,178,73.1
49,174,72.1
22,179,75.6
23,185,80.1
19,154,63.6
19,178,76.4
23,173,77.0
22,178,79.0
21,173,69.1
22,179,74.8
23,164,64.1
23,165,73.8
27,162,65.0
19,173,72.6
23,172,72.8
21,168,70.8
23,164,67.7
22,180,75.8
21,175,78.9
22,166,63.9
21,156,62.9
20,166,69.2
21,196,91.4
25,179,77.2
21,194,99.1
21,170,67.5
22,178,77.8
22,157,63.9
23,159,66.4
25,158,64.2
24,199,101.5
34,182,83.2
22,189,91.5
19,174,77.3
18,162,63.0
21,169,70.1
22,162,68.3
20,176,76.5
24,145,57.8
21,163,68.4
25,164,66.1
22,176,75.0
22,160,65.6
18,164,69.1
21,183,81.5
21,163,63.9
23,166,66.1
22,177,74.7
60,179,76.2
35,167,73.6
21,153,59.0
21,166,68.3
21,183,82.9
19,176,76.0
25,194,98.6
21,172,75.2
20,184,82.0
21,185,84.5
25,180,76.5
22,157,62.9
22,159,63.0
21,195,97.9
22,193,90.8
23,188,90.5
20,165,67.3
19,153,60.1
19,186,82.4
23,175,76.1
54,172,71.6
20,177,76.7
25,172,73.7
24,162,59.8
21,176,74.2
19,170,70.4
21,180,82.4
24,188,88.2
20,159,60.7
21,182,77.9
21,181,79.7
21,185,84.2
23,173,76.4
22,171,68.8
23,152,60.1
20,167,68.5
20,169,69.9
21,164,67.0
23,157,63.4
22,177,76.9
23,177,74.5
18,160,60.1
20,168,69.7
21,173,76.1
21,180,78.8
21,170,69.1
22,167,68.1
25,169,65.6
22,158,65.0
46,178,75.7
23,172,74.3
43,168,67.9
22,157,65.9
24,176,74.6
22,192,94.6
21,181,81.5
19,174,72.9
23,171,73.9
25,180,80.7
22,154,66.9
21,162,70.1
22,172,69.7
24,187,83.4
20,182,85.3
21,169,72.6
23,162,66.8
21,175,71.9
21,155,65.5
20,174,73.2
22,168,69.1
18,176,73.1
23,167,65.4
23,172,71.1
19,159,65.7
22,177,79.1
20,166,67.7
22,176,75.7
22,192,100.7
22,188,82.9
22,174,75.4
24,181,78.5
21,153,58.8
20,171,74.6
22,154,60.3
22,193,85.7
20,169,71.5
19,182,77.5
21,165,73.2
24,169,72.3
21,182,80.8
20,150,59.4
20,192,90.6
23,160,63.6
19,171,72.2
19,173,69.6
21,175,80.8
24,178,81.0
24,156,55.0
25,166,73.4
23,183,82.4
22,154,66.3
22,192,88.5
23,179,75.4
23,170,70.7
19,184,82.9
23,184,79.9
19,166,71.4
20,170,74.6
22,185,82.2
23,170,71.4
21,175,73.3
22,174,75.2
21,184,85.6
23,188,89.3
24,192,92.7
18,166,68.0
22,184,86.9
44,180,79.2
20,171,74.8
22,154,59.9
18,183,81.8
22,196,97.0
19,170,68.7
20,142,55.9
21,170,69.2
24,173,76.5
22,151,59.5
22,194,92.0
21,151,61.0
20,151,65.5
22,178,72.3
22,165,64.9
22,172,68.7
21,173,69.2
21,166,70.2
19,167,74.7
21,171,70.7
22,176,77.6
21,167,69.9
21,195,96.9
21,178,76.3
22,177,78.3
22,164,71.2
22,184,76.3
20,169,67.2
23,176,75.7
19,161,62.8
22,189,90.5
19,175,78.2
18,179,78.3
21,173,77.9
24,164,68.0
21,159,66.3
22,176,74.1
21,168,68.9
22,184,83.0
24,168,69.7
22,145,58.9
21,152,60.5
22,176,79.0
35,193,94.1
22,164,66.0
24,174,74.0
20,164,64.5
24,163,69.9
19,181,83.0
20,187,83.4
21,172,71.6
21,186,87.2
20,161,67.3
31,186,84.7
21,164,66.5
21,171,73.4
19,184,84.8
20,173,75.7
21,152,62.4
22,168,70.8
19,190,90.8
23,171,76.0
22,167,68.5
41,172,75.5
19,186,84.8
23,143,57.0
20,173,76.5
21,178,75.6
20,168,68.4
21,191,93.8
23,163,69.1
23,173,71.0
22,155,60.4
21,153,66.6
19,161,60.4
19,188,88.5
20,146,57.9
21,169,76.8
22,147,59.8
20,168,69.9
20,183,81.0
20,160,63.2
20,160,65.9
22,148,58.5
21,180,78.7
20,186,82.4
19,158,66.5
19,170,71.3
44,164,64.9
22,174,72.0
21,170,69.3
24,150,64.0
21,157,66.4
41,196,96.3
19,150,61.2
24,192,94.9
21,182,79.7
22,168,75.1
19,158,64.0
49,174,71.7
23,163,69.4
23,184,82.6
22,171,69.8
21,193,96.3
22,185,86.4
22,172,73.4
20,184,83.9
25,163,62.2
21,182,84.8
23,167,66.1
22,176,70.1
23,180,75.6
22,157,59.6
19,180,80.0
20,182,79.2
20,190,91.1
27,157,61.9
28,194,91.6
21,175,78.3
22,183,80.4
21,171,70.6
22,166,73.4
22,175,72.4
22,164,64.1
21,170,69.1
24,184,84.2
20,179,81.7
19,174,71.6
20,166,67.8
22,156,61.7
20,164,66.6
27,159,65.4
21,171,73.2
20,164,66.4
19,156,64.8
20,169,69.2
22,173,68.5
22,187,84.8
19,172,69.7
38,183,82.4
20,186,83.3
21,176,78.2
23,178,80.3
25,174,73.7
21,160,67.7
18,191,89.3
20,157,63.5
18,170,69.8
22,186,82.2
19,177,70.2
19,163,64.3
23,166,69.5
22,182,76.9
21,188,86.9
21,175,75.2
22,152,60.9
22,171,74.1
21,156,58.8
23,156,61.1
23,164,65.9
20,191,89.7
20,173,69.1
22,161,63.8
22,165,67.3
22,182,84.2
21,165,66.1
19,153,62.3
21,156,60.5
21,164,69.4
21,164,70.0
20,173,78.2
20,146,62.9
22,188,87.7
20,178,75.6
24,166,70.6
22,177,70.8
20,195,92.7
21,157,63.1
23,167,67.7
22,171,71.5
26,176,75.5
20,168,74.7
24,164,66.4
22,168,67.2
21,164,69.9
25,175,72.0
20,172,73.3
24,189,87.9
20,156,62.8
24,162,68.8
23,168,67.6
22,166,67.1
22,181,76.2
20,156,61.2
25,182,80.1
19,196,93.7
21,170,67.8
22,167,69.6
23,166,69.0
45,187,83.8
21,188,85.6
23,161,63.8
20,155,69.6
23,153,60.9
20,159,59.5
20,175,75.2
27,158,64.1
19,160,66.2
21,172,65.8
19,171,72.1
24,179,74.8
23,184,80.6
23,172,75.5
21,148,59.5
21,203,105.7
19,170,76.0
21,186,86.6
20,172,73.1
24,172,68.8
22,174,73.4
21,188,90.1
35,151,59.3
25,171,74.7
20,170,71.5
19,169,71.9
19,174,75.1
24,168,70.8
33,187,88.8
21,191,91.9
23,159,63.7
22,178,80.0
23,176,79.5
32,187,89.5
21,150,64.9
22,169,66.3
21,182,78.5
